INFO id, ap, power, channel
INFO 1, 69, 30, 19
INFO 2, 26, 30, 12
INFO 3, 27, 30, 19
INFO 4, 68, 30, 5
INFO 5, 27, 30, 19
INFO 6, 16, 30, 15
INFO 7, 69, 30, 19
INFO 8, 36, 30, 12
INFO 9, 1, 30, 19
INFO 10, 4, 30, 7
INFO 11, 73, 30, 12
INFO 12, 46, 30, 8
INFO 13, 37, 30, 19
INFO 14, 50, 30, 13
INFO 15, 15, 30, 1
INFO 16, None, 0,0
INFO 17, 31, 30, 19
INFO 18, 80, 30, 7
INFO 19, 31, 30, 19
INFO 20, 8, 30, 1
INFO 21, 35, 30, 12
INFO 22, 36, 30, 12
INFO 23, 71, 30, 19
INFO 24, 50, 30, 13
INFO 25, 51, 30, 1
INFO 26, 40, 30, 2
INFO 27, 5, 30, 19
INFO 28, 54, 30, 1
INFO 29, None, 0,0
INFO 30, 36, 30, 12
INFO 31, 51, 30, 1
INFO 32, 50, 30, 13
INFO 33, 81, 30, 1
INFO 34, 36, 30, 12
INFO 35, 25, 30, 12
INFO 36, 40, 30, 2
INFO 37, 49, 30, 12
INFO 38, 2, 30, 1
INFO 39, 21, 30, 12
INFO 40, 54, 30, 1
INFO 41, 81, 30, 1
INFO 42, 26, 30, 12
INFO 43, 31, 30, 19
INFO 44, 14, 30, 19
INFO 45, 31, 30, 19
INFO 46, 18, 30, 19
INFO 47, 9, 30, 19
INFO 48, 26, 30, 12
INFO 49, 77, 30, 1
INFO 50, 50, 30, 13
INFO 51, 3, 30, 12
INFO 52, 76, 30, 7
INFO 53, 71, 30, 19
INFO 54, 42, 30, 7
INFO 55, 31, 30, 19
INFO 56, 36, 30, 12
INFO 57, 35, 30, 12
INFO 58, 42, 30, 7
INFO 59, 51, 30, 1
INFO 60, 36, 30, 12
INFO 61, 33, 30, 19
INFO 62, 36, 30, 12
INFO 63, 33, 30, 19
INFO 64, 26, 30, 12
INFO 65, 79, 30, 12
INFO 66, 36, 30, 12
INFO 67, 9, 30, 19
INFO 68, 24, 30, 5
INFO 69, 5, 30, 19
INFO 70, None, 0,0
INFO 71, 79, 30, 12
INFO 72, 18, 30, 19
INFO 73, 43, 30, 1
INFO 74, 18, 30, 19
INFO 75, 63, 30, 1
INFO 76, 70, 30, 4
INFO 77, 17, 30, 1
INFO 78, 60, 30, 13
INFO 79, 31, 30, 19
INFO 80, 40, 30, 2
INFO 81, 27, 30, 19
INFO 82, 50, 30, 13
INFO 83, 71, 30, 19
INFO 84, 22, 30, 2
INFO 85, 15, 30, 1
INFO 86, 32, 30, 8
INFO 87, 77, 30, 1
INFO 88, 40, 30, 2
INFO 89, 47, 30, 12
INFO 90, None, 0,0
INFO 91, 51, 30, 1
INFO 92, 74, 30, 12
INFO 93, 77, 30, 1
INFO 94, 78, 30, 12
INFO 95, None, 0,0
INFO 96, 78, 30, 12
INFO 97, 1, 30, 19
INFO 98, 38, 30, 15
INFO 99, 13, 30, 12
INFO 100, 42, 30, 7
INFO 101, 35, 30, 12
INFO 102, 78, 30, 12
INFO 103, 51, 30, 1
INFO 104, 72, 30, 19
INFO 105, 51, 30, 1
INFO 106, 80, 30, 7
INFO 107, 79, 30, 12
INFO 108, 24, 30, 5
INFO 109, 49, 30, 12
INFO 110, 2, 30, 1
INFO 111, 13, 30, 12
INFO 112, 78, 30, 12
INFO 113, 59, 30, 19
INFO 114, None, 0,0
INFO 115, 17, 30, 1
INFO 116, 54, 30, 1
INFO 117, 35, 30, 12
INFO 118, 42, 30, 7
INFO 119, 17, 30, 1
INFO 120, 32, 30, 8
INFO 121, 71, 30, 19
INFO 122, 26, 30, 12
INFO 123, None, 0,0
INFO 124, None, 0,0
INFO 125, 1, 30, 19
INFO 126, 16, 30, 15
INFO 127, 9, 30, 19
INFO 128, 74, 30, 12
INFO 129, 51, 30, 1
INFO 130, None, 0,0
INFO 131, 17, 30, 1
INFO 132, 18, 30, 19
INFO 133, 79, 30, 12
INFO 134, 6, 30, 1
INFO 135, 5, 30, 19
INFO 136, 32, 30, 8
INFO 137, 79, 30, 12
INFO 138, 38, 30, 15
INFO 139, 71, 30, 19
INFO 140, 18, 30, 19
INFO 141, 27, 30, 19
INFO 142, None, 0,0
INFO 143, 49, 30, 12
INFO 144, 72, 30, 19
INFO 145, 63, 30, 1
INFO 146, 70, 30, 4
INFO 147, 77, 30, 1
INFO 148, 34, 30, 5
INFO 149, 23, 30, 19
INFO 150, 74, 30, 12
INFO 151, 1, 30, 19
INFO 152, 70, 30, 4
INFO 153, 13, 30, 12
INFO 154, 78, 30, 12
INFO 155, 59, 30, 19
INFO 156, 34, 30, 5
INFO 157, 77, 30, 1
INFO 158, 18, 30, 19
INFO 159, 9, 30, 19
INFO 160, 32, 30, 8
INFO 161, 33, 30, 19
INFO 162, 14, 30, 19
INFO 163, 67, 30, 1
INFO 164, 48, 30, 13
INFO 165, 67, 30, 1
INFO 166, 14, 30, 19
INFO 167, 63, 30, 1
INFO 168, 18, 30, 19
INFO 169, 31, 30, 19
INFO 170, 6, 30, 1
INFO 171, 25, 30, 12
INFO 172, 68, 30, 5
INFO 173, 71, 30, 19
INFO 174, 6, 30, 1
INFO 175, 13, 30, 12
INFO 176, 36, 30, 12
INFO 177, 75, 30, 19
INFO 178, 76, 30, 7
INFO 179, 1, 30, 19
INFO 180, 60, 30, 13
INFO 181, 59, 30, 19
INFO 182, 78, 30, 12
INFO 183, 71, 30, 19
INFO 184, 78, 30, 12
INFO 185, 25, 30, 12
INFO 186, 50, 30, 13
INFO 187, 79, 30, 12
INFO 188, 18, 30, 19
INFO 189, 31, 30, 19
INFO 190, 26, 30, 12
INFO 191, 63, 30, 1
INFO 192, 36, 30, 12
INFO 193, 81, 30, 1
